Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
ESSR16 	ESSR04 	U	-60.07		-	2.74	6.47	9999
ESSR16 	ESSR05 	U	-52.90		-	3.22	7.35	9999
ESSR16 	ESSR06 	U	-64.78		-	3.30	7.99	9999
ESSR16 	ESSR07 	U	-54.90		-	2.99	7.61	9999
ESSR16 	ESSR08 	U	-61.48		-	3.87	7.90	9999
ESSR16 	ESSR09 	U	-60.57		-	1.11	4.37	9999
ESSR16 	ESSR10 	U	-49.75		-	0.69	3.81	9999
ESSR16 	ESSR11 	U	-56.02		-	1.21	3.03	9999
ESSR16 	ESSR12 	U	-58.08		-	0.20	2.94	9999
ESSR16 	ESSR13 	U	-46.63		-	0.72	3.56	9999
ESSR16 	ESSR14 	U	-67.33		-	0.65	4.49	9999
ESSR16 	ESSR15 	U	-48.03		-	0.89	4.36	9999
ESSR17 	ESSR18 	U	-59.89		-	2.53	6.64	9999
ESSR17 	ESSR19 	U	-65.30		-	0.59	3.36	9999
ESSR17 	ESSR20 	U	-63.47		-	3.55	8.28	9999
ESSR17 	ESSR01 	U	-62.19		-	3.13	7.52	9999
ESSR17 	ESSR02 	U	-60.26		-	1.74	5.05	9999
ESSR17 	ESSR03 	U	-63.58		-	2.99	7.97	9999
ESSR17 	ESSR04 	U	-63.71		-	1.74	5.63	9999
ESSR17 	ESSR05 	U	-54.94		-	0.19	2.60	9999
ESSR17 	ESSR06 	U	-68.43		-	2.21	6.47	9999
ESSR17 	ESSR07 	PO	-55.48		1.45	0.24	2.95	-
ESSR17 	ESSR08 	U	-65.13		-	2.53	7.49	9999
ESSR17 	ESSR09 	U	-64.21		-	4.13	9.08	9999
ESSR17 	ESSR10 	PO	-44.65		6.24	2.43	0.48	-
ESSR17 	ESSR11 	HS	-58.33		1.34	-	2.92	9999
ESSR17 	ESSR12 	U	-61.72		-	2.40	7.12	9999
ESSR17 	ESSR13 	HS	-49.75		0.83	-	1.28	9999
ESSR17 	ESSR14 	U	-70.97		-	1.06	3.11	9999
ESSR17 	ESSR15 	U	-51.98		-	3.35	7.47	9999
ESSR17 	ESSR16 	U	-61.89		-	1.91	6.00	9999
ESSR21 	ESSR18 	HS	-50.74		2.44	-	2.37	9999
ESSR21 	ESSR19 	U	-60.74		-	2.93	7.51	9999
ESSR21 	ESSR20 	U	-56.60		-	0.28	4.06	9999
ESSR21 	ESSR01 	U	-55.34		-	2.18	6.57	9999
ESSR21 	ESSR02 	U	-55.70		-	1.60	4.50	9999
